OBJECTID,ID,estate_chi,estate_eng,HousingType,Latitude,Longitude,adhz,t_pop,age_1,age_2,age_3,age_4,age_5,born_chi,born_else,born_hk,dh,dhc_nc,dhc_oth,dhc_re,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,dhm_loan,dhm_lr,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,dm_r,dmr_ir,edu_pri_be,edu_psec,edu_sec,estate,ethn_chi,ethn_ind,ethn_oth,ethn_phi,ethn_wh,fa_m,ma_econhh,ma_f,ma_hh,ma_m,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,ms_m_f,ms_ma_m,ms_nm_f,ms_nm_m,ms_wds_f,ms_wds_m,nwp_care,nwp_hm,nwp_oth,nwp_re,nwp_st,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_hm,plw_nofix,plw_out,plw_same,pop_f,pop_m,readchi_ablepctn,readeng_ablepctn,s_diff_oth,sr,t_ma,t_mmearn,t_mmearn_xfdh,t_nwp,t_wp,ul_can,ul_eng,ul_oth,ul_othchi,ul_put,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,wp_a,wp_b,wp_c,wp_d,wp_e,wp_ee,wp_er,wp_f,wp_fw,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_se,wp_t,writechi_ablepctn,writeeng_ablepctn,Shape_Length,Shape_Area
117,PV_036,大坑西邨,Tai Hang Sai Estate,Private,22.33227931,114.1695622,2.3,2567,72,95,454,1153,793,686,87,1794,1095,446,393,256,350,202,276,267,70,136,276,267,-,-,382,220,261,198,34,-,860,4.8,473,694,1328,61687,2499,35,22,11,-,31,24840,55.9,19510,52.7,211,495,484,257,495,484,640,560,281,566,347,101,16,104,252,843,116,-,39,13,91,237,318,201,28,61,353,-,38,1309,1258,96.4,66.6,-,961,55.3,16500,17000,1331,1236,2439,22,9,74,8,17,110,561,335,116,97,28,78,326,206,271,1154,30,93,-,61,173,-,37,135,265,99,114,18,97,255,149,67,52,-,95.3,64.7,554.7399377,20772.18048
119,PV_037,得寶花園,Tak Bo Garden,Private,22.3269967,114.2144952,2,3476,413,211,1152,1210,490,788,187,2501,1780,955,782,43,393,230,529,628,141,169,529,616,9500,18.2,744,585,274,145,32,-,11000,39.7,163,1685,1215,61718,3278,63,109,26,-,26,33170,44.5,27920,44.6,220,528,1264,271,528,1264,981,977,513,265,209,118,64,216,264,405,464,28,84,94,305,304,473,296,49,69,351,19,502,1878,1598,96.5,82.9,-,851,44.6,22000,22510,1413,2063,3059,45,27,99,66,99,265,781,689,123,106,183,318,552,423,233,1893,10,55,-,110,174,15,31,90,428,177,156,138,96,395,391,120,160,41,95.1,79.2,442.8798399,9062.415841
122,PV_038,德福花園,Telford Gardens,Private,22.3239867,114.2128048,2.8,13142,2019,928,4091,4100,2004,2407,924,9811,4687,3754,659,274,554,395,1002,2736,109,244,842,2656,13000,19.2,580,1376,1505,865,346,15,8500,11.1,1084,4846,5193,61730,12402,302,61,377,-,50,55430,42.5,47440,44.8,333,1349,4512,1012,1349,4512,4309,3682,1454,940,483,255,370,632,1053,2096,2118,136,859,323,891,1607,1299,897,213,805,737,53,1262,7312,5830,93.3,84.8,18,797,43.3,29500,30000,6269,6873,11629,444,138,30,66,304,519,2433,2608,806,203,797,1030,1569,988,1342,6360,73,142,-,204,801,-,146,221,801,473,213,344,561,1135,2105,874,440,-,91.7,82.9,2242.986011,139423.8113
123,PV_039,譽‧港灣,The Latitude,Private,22.33356158,114.1968715,3.1,3264,493,249,1057,1219,246,555,392,2317,1042,726,158,158,85,99,162,696,33,55,162,685,16600,24.2,148,290,217,167,126,94,24290,36.8,244,1449,1078,61776,2895,169,57,143,-,53,82370,41.3,70000,44.5,50,275,1185,362,275,1185,1019,807,473,249,114,109,75,286,215,294,572,38,356,71,57,391,599,95,64,315,81,8,269,1901,1363,89.4,88.9,21,717,42.3,26250,37620,1442,1822,2735,213,47,90,20,96,90,648,668,223,97,390,404,371,113,193,1543,138,-,-,-,351,-,43,23,246,64,93,115,271,219,413,335,141,-,87.7,85.9,483.0764555,12684.37888
124,PV_040,浪澄灣,The Long Beach,Private,22.31952231,114.155851,2.9,4472,935,152,2169,897,319,1071,933,2468,1560,1013,430,117,54,148,103,1255,6,95,69,1244,21000,18,365,356,282,334,153,70,22000,27.7,165,2510,862,61780,3552,165,277,388,90,52,100040,36.9,92300,34.8,152,254,1724,703,254,1724,1519,1044,436,254,281,3,155,151,394,288,803,185,311,20,291,847,184,204,55,639,209,67,476,2680,1792,80.1,92.5,-,669,36.3,45000,55800,1791,2681,2675,702,121,25,568,174,227,1015,720,176,369,609,851,351,200,74,2432,92,22,-,3,571,-,79,69,284,86,57,112,800,271,372,551,157,-,77.4,91.4,588.9554906,20202.29573
125,PV_041,宇晴軒,The Pacifica,Private,22.33460465,114.1497904,3,5604,1122,285,1830,2010,357,863,523,4218,1853,1351,311,191,127,150,352,1224,45,108,337,1181,15000,22.6,220,540,473,321,211,88,17500,33.8,310,2700,1472,61788,5121,94,76,302,11,45,60190,42,55540,41.4,117,451,2029,548,451,2029,1724,1479,529,344,351,55,79,362,460,506,1162,81,373,63,624,622,721,379,108,478,224,55,448,3060,2544,90.4,89.4,-,831,41.8,30000,35000,2569,3035,4725,344,81,12,104,165,138,1272,1054,257,149,655,674,680,312,127,2609,221,31,7,51,505,-,111,137,498,203,67,171,337,415,604,471,198,21,88,87.8,528.0061205,16067.44033
126,PV_042,漾日居,The Waterfront,Private,22.30485942,114.1630936,3.5,4002,721,327,1253,1280,421,530,1268,2204,1160,828,220,112,66,48,89,957,13,31,52,900,30000,19.6,145,219,164,321,231,80,43000,27.7,122,2028,1131,61812,2850,158,424,447,123,89,118870,40.9,102470,44.2,123,256,1321,742,256,1321,1319,899,614,263,120,66,75,163,237,339,849,239,285,118,156,689,181,237,7,677,166,28,354,2477,1525,76.2,93.1,8,616,41.5,29000,50000,1663,2339,2595,731,335,2,208,139,216,806,725,313,140,686,441,384,81,93,1864,261,-,20,8,646,-,107,39,395,88,65,27,440,294,215,669,194,-,74.1,92.5,573.1097215,17087.32664
142,PV_043,黃埔新邨,Whampoa Estate,Private,22.30630575,114.1881364,2.7,6647,793,553,2217,1803,1281,2227,703,3717,2503,1523,639,341,492,407,624,980,72,349,560,950,10000,28.3,513,778,549,469,148,46,13500,36.6,785,2505,2564,62033,5991,91,328,214,23,37,39040,44.3,28250,41.6,323,1089,1670,637,1089,1670,1784,1566,911,884,520,189,90,314,480,1274,1071,101,194,79,688,731,896,343,78,338,369,67,596,3583,3064,90.9,74.1,10,855,42.8,19000,20000,3229,3418,5480,322,259,132,225,208,319,1373,1047,202,269,373,424,736,445,556,3044,143,224,22,143,517,-,90,362,613,242,160,146,304,554,523,424,209,-,89.1,72.6,1529.342803,19590.82418
143,PV_044,黃埔花園,Whampoa Gardens,Private,22.30460603,114.1897326,3.1,30038,3596,2317,8551,9717,5857,6418,3888,19732,9745,6440,1755,1550,1143,1055,1718,5829,150,657,1422,5630,15000,20.5,1346,2575,2101,2034,1278,411,19000,26.2,2394,13428,10620,62034,26295,1289,894,1527,33,63,65050,44.9,51100,48,798,2872,9015,3584,2872,9015,9430,7390,4135,2935,2165,387,452,1356,1849,5919,4920,642,1013,535,2671,3590,3837,1420,421,3063,1275,118,1818,17512,12526,87.7,83.9,50,715,46.1,25000,30000,14496,15542,25269,2138,584,456,771,969,988,5804,5158,1536,1087,2535,3144,3336,1952,1097,13906,731,224,71,195,3046,13,463,681,2423,789,279,702,1798,2055,3134,3163,834,55,86.3,81.7,2281.361948,190836.7668
146,PV_045,偉恒昌新村,Wyler Gardens,Private,22.31776388,114.192306,2.7,6746,823,352,2137,1951,1483,2492,497,3757,2516,1509,629,378,539,286,598,1093,135,221,569,1069,8500,15.5,527,714,654,382,184,55,12500,36,855,2315,2753,62091,6338,228,106,74,-,39,41510,45.3,34170,45.7,300,1298,1702,610,1298,1702,1938,1736,856,620,618,155,114,343,508,1324,847,46,139,93,639,608,935,310,134,391,561,56,615,3766,2980,92.8,70.5,7,791,45.5,18500,20000,3136,3610,5756,135,47,368,172,218,270,1292,1185,338,307,425,324,753,688,532,3233,210,243,-,103,537,5,144,198,599,361,221,80,375,599,437,583,167,13,90.1,67.9,1004.357223,16882.13305
