Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information
Lei Cheng Uk Estate,Sham Shui Po,Kowloon,22.33921,114.16013,Tenants Purchase Scheme,1984,Double H  Linear 1  Linear 3  Old Slab  Trident 4,10,Chung Hou House Hau Chi House Hau Lim House Lim Kit House Lai Yeung House Shun Yee House Tao Tak House Wo Muk House Wo Ping House Yan Oi House,700 * As at 30.6.2025,Gross Floor Areas (sqm):27.8 - 84.3;  Saleable Areas (sqm):21.5 - 65.1,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(11) G/F  Lai Mei House  Lai Kok Estate  Sham Shui Po Tel: 2361 0070 Fax: 2148 2463  Lei Cheng Uk Estate Tenants Service Management Office  Good Excel Property Consultants Ltd. Unit 317  P/F  Shun Yee House  Lei Cheng Uk Estate  Kowloon   Tel: 2728 2239  Fax: 2728 2790,Appointed by Owners' Corporation,Owned and operated by private corporation,,* Includes flats  households and authorized population under Public Rental Housing only
Ko Cheung Court,Kwun Tong,Kowloon,22.29693,114.24012,Public Rental Housing,2004,NCB,5,Ko Hang House Ko Ki House Ko Lun House Ko On House Ko Sui House,1 800 As at 30.6.2025,31.5 - 53.6,Formed,Housing Department Kowloon East (4) District Tenancy Management Office  G/F  Wun Wah House  Lok Wah South Estate  Ngau Tou Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,China Overseas Property Services Ltd. (Public Rental Housing In-flat) 4/F  Podium  Ko On House  Ko Cheung Court  Ko Chiu Court  Yau Tong Telephone: 3417 1128 Fax: 3417 1138  China Overseas Property Services Ltd. (Estate Common Areas and Facilities) G/F  Wai Mei House  Yau Mei Court  Yau Tong Telephone: 2204 5080 Fax: 2204 5088,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/KoCheungCourt-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Hoi Lai Estate,Sham Shui Po,Kowloon,22.33224,114.14635,Public Rental Housing,2004,New Cruciform  Non Standard,12,Hoi Chi House Hoi Ching House Hoi Fai House Hoi Hei House Hoi Kin House Hoi Ming House Hoi Nga House Hoi Shui House Hoi Shun House Hoi Wai House Hoi Wo House Hoi Yin House,4 900 As at 30.6.2025,17.4 - 53.6,Formed,Hoi Lai Estate Office G/F  Hoi Ching House  Hoi Lai Estate  Sham Shui Po Telephone: 2947 1368 Fax: 2760 4885,Hoi Lai Estate Office G/F  Hoi Ching House  Hoi Lai Estate  Sham Shui Po Telephone: 2947 1368 Fax: 2760 4885,Yue Xiu APT Parking Limited Room 2102  21/F.  SUP Tower  75-83 King's Road  North Point  Hong Kong Telephone: 3598 9277  Fax: 2523 7892  E-mail: ALex.IP@yuexiuproperty.com,-,<a href= /en/common/pdf/global-elements/estate-locator/HoiLaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Ho Man Tin Estate,Kowloon City,Kowloon,22.31826,114.18113,Public Rental Housing,1998,Harmony 1  Harmony 3B  Small Household Block,9,Ching Man House King Man House Nga Man House Tim Man House Yat Man House Choi Man House Sik Man House Yee Man House Yan Man House,4 700 As at 30.6.2025,16.3 - 52.2,Formed,Kowloon West & Sai Kung District Tenancy Management Office(4) G/F  Nga Man House  Homantin Estate  Kowloon Tel: 2242 0277 Fax: 2194 1305,Good Excel Property Consultants Ltd. G/F  Nga Man House  Ho Man Tin Estate  Ho Man Tin Telephone: 2176 4552 Fax: 2242 1253,Homantin Estate Carpark Owned and operated by private corporation  King Man House Carpark Good Excel Property Consultants Ltd. G/F  Nga Man House  Ho Man Tin Estate  Ho Man Tin Telephone: 2176 4552 Fax: 2242 1253,-,<a href= /en/common/pdf/global-elements/estate-locator/HoManTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Shun Tin Estate,Kwun Tong,Kowloon,22.32656,114.2259,Public Rental Housing,1981,Double I  Linear 1  Old Slab  Twin Tower,11,Tin Chi House Tin Fai House Tin Wing House Tin Hang House Tin Kei House Tin Lok House Tin Kam House Tin Kuen House Tin Chu House Tin Wan House Tin Yiu House,7 000 As at 30.6.2025,23.1 - 49.1,Formed,Housing Department Shun Tin Estate Office G/F  Tin Fai House  Shun Tin Estate  Kwun Tong  Kowloon Telephone: 2797 2010 Fax: 2763 6050,Housing Department Shun Tin Estate Office G/F  Tin Fai House  Shun Tin Estate  Kwun Tong  Kowloon Telephone: 2797 2010 Fax: 2763 6050,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ShunTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Un Chau Estate,Sham Shui Po,Kowloon,22.33665,114.15599,Public Rental Housing,1998  2008  2012,Harmony 1  Senior Citizens  New Harmony 1  Small Household Block  Non-standard Block,14,(Un Chau Phase 1 & 3) Un Fung House Un Hong House Un Shing House Un Tai House Un Wo House  (Un Chau Phase 2 & 4) Un Lok House  Un Nga House  Un Chi House  Un Hei House  Un Kin House    (Un Chau Phase 5) Un Mun House Un Wai House Un Yat House Un Him House,7 800 As at 30.6.2025,9.7 - 49.0,Formed,Kowloon West and Sai Kung District Tenancy Management Office(12) Podium  Un Chau Shopping Centre  Un Chau Estate   Shamshuipo  Kowloon. Telephone :  2728 7714 Fax : 2748 7087,Pioneer Management Ltd.  G/F Un Mun House  Un Chau Estate  Sham Shui Po Telephone: 2387 0023 Fax: 2295 3183,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/UnChauEstate1-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lower Wong Tai Sin (1) Estate,Wong Tai Sin,Kowloon,22.33921,114.1948,Tenants Purchase Scheme,1989,Linear 1  Trident 4,9,Lung Chak House Lung Tat House Lung Wing House Lung Fung House Lung Hong House Lung Shun House Lung Wah House Lung Yat House Lung Yue House,900 * As at 30.6.2025,Gross Floor Areas (sqm):19.1 - 75.0; Saleable Areas (sqm):13.5 - 55.6,Not applicable (Owners' Corporation Formed),Wong Tai Sin District Tenancy Management Office G/F  Lung Chi House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin Telephone: 2326 8962 Fax: 2326 6143  Lower Wong Tai Sin (1) Estate Tenants Services Management Office Funing Property Management  Ltd. Unit 115-116  G/F  Lung Wah House  Lower Wong Tai Sin (1) Estate  Kowloon Telephone: 2726 5220 Fax: 2726 3823,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Tung Tau (II) Estate,Wong Tai Sin,Kowloon,22.33306,114.19336,Tenants Purchase Scheme,1982,Double H  Linear 1  Linear 3  Single H  Slab  Trident 4,20,Chun Tung House Fu Tung House Hong Tung House Kwai Tung House On Tung House Pak Tung House Shing Tung House Tai Tung House Wong Tung House Yue Tung House Choi Tung House Cheung Tung House Hing Tung House Mau Tung House Wai Tung House Wing Tung House Yan Tung House Yat Tung House Ying Tung House Yiu Tung House,1 300 * As at 30.6.2025,Gross Floor Areas (sqm):18.9 - 84.5; Saleable Areas (sqm):13.5 - 65.1,Not applicable (Owners' Corporation Formed),Wong Tai Sin District Tenancy Management Office  G/F  Lung Chi House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin  Telephone: 2326 8962  Fax: 2326 6143  Tung Tau (II) Estate Tenants Service Management Office Funing Property Management  Ltd. No. 12  G/F.  Mau Tung House  Tung Tau (II) Estate  Wong Tai Sin Telephone: 2716 7966 Fax: 2726 3823,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Upper Wong Tai Sin Estate,Wong Tai Sin,Kowloon,22.3427,114.1927,Public Rental Housing,2000  2009,Harmony 1 & Annex Block  Harmony 1  Single Aspect Building  Non-standard Block,8,Cheong Sin House Chiu Sin House Kai Sin House Po Sin House Tat Sin House Yat Sin House Yiu Sin House Wing Sin House,4 900 As at 30.6.2025,16.3 - 49.0,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Funing Property Management Ltd. Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 2321 2004 Fax: 2352 6676,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/UpperWongTaiSinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Tsz Ching Estate,Wong Tai Sin,Kowloon,22.34989,114.20263,Public Rental Housing,1993 / 2001,Harmony 1  Harmony 3  Harmony 3A  Non-standard,11,Ching Fai House Ching Hong House Ching Ming House Ching On House Ching Tai House Ching Tak House Ching Wo House Ching Yi House Ching Yuk House Ching Yuen House Ancillary Facilities Block,8 100 As at 30.6.2025,13.0 - 52.3,Formed,Tsz Ching Estate Office G/F  Ching Hong House  Tsz Ching Estate  Tsz Wan Shan Telephone: 2325 0104 Fax: 2351 4358,Tsz Ching Estate Office G/F  Ching Hong House  Tsz Ching Estate  Tsz Wan Shan Telephone: 2325 0104 Fax: 2351 4358,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TszChingEstate-barrier-free-en2023.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Tsz Hong Estate,Wong Tai Sin,Kowloon,22.34727,114.20305,Public Rental Housing,2002,New Cruciform,5,Hong Kin House Hong Sau House  Hong Tak House Hong Tim House                       Hong Yun House,2 000 As at 30.6.2025,31.7 - 53.8,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 2324 0096 Fax: 2752 8665,Pioneer Management Ltd G/F  Hong Tim House  Tsz Hong Estate  Tsz Wan Shan Telephone: 2997 5151 Fax: 2997 5000,-,-,<a href= /en/common/pdf/global-elements/estate-locator/TszHongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Tsz Man Estate,Wong Tai Sin,Kowloon,22.34817,114.20383,Public Rental Housing,1994,Harmony 1,3,Man Kin House Man Tai House Man Yue House,2 000 As at 30.6.2025,16.9 - 49.3,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Tsz Wan Shan Telephone: 2324 0096 Fax: 2752 8665,Pioneer Management Ltd  G/F  Hong Sau House  Tsz Hong Estate  Tsz Wan Shan   Telephone: 2324 4176  (24-Hr Telephone: 2324 1679)  Fax: 2351 9164,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TszManEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Fai Estate,Wong Tai Sin,Kowloon,22.33539,114.21799,Public Rental Housing,1995,Harmony 1,2,Choi Wah House Choi Yip House,1 400 As at 30.6.2025,16.1 - 43.2,Formed,Chuk Yuen District Tenancy Management Office   Unit 101-108  Yung Yuen House  Chuk Yuen (North) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224,Modern Living Property Management Ltd.  G/F  Choi Yip House  Choi Fai Estate Telephone: 2707 9978 Fax: 2758 2929,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiFaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Wan Hon Estate,Kwun Tong,Kowloon,22.3179,114.22325,Public Rental Housing,1998,Small Household Block,2,Hon Chung House Hon Pak House,1 000 As at 30.6.2025,17.3 - 53.8,Formed,Housing Department Kowloon East (8) District Tenancy Management Office 2/F  Yuk Shek House  Ping Shek Estate  Kowloon Telephone: 2323 8121 Fax: 2351 4367,Pacific Extend Properties Management Limited G/F  Hon Chung House  Wan Hon Estate  Kwun Tong Telephone: 2172 7363 Fax: 2172 7255,Pacific Extend Properties Management Limited G/F  Hon Chung House  Wan Hon Estate  Kwun Tong Telephone: 2172 7363 Fax: 2172 7255,-,<a href= /en/common/pdf/global-elements/estate-locator/WanHonEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Wo Lok Estate,Kwun Tong,Kowloon,22.31625,114.2275,Public Rental Housing,1962,Old Slab,11,Cheung On House Fu On House Hang On House Hing On House Kin On House Kui On House Man On House Ping On House Sun On House Tai On House Yee On House,1 900 As at 30.6.2025,24.0 - 32.6,Formed,Housing Department Wo Lok Estate Office G/F  Ping On House  Wo Lok Estate  60 Yuet Wah Street  Kwun Tong  Kowloon Telephone: 2389 0020 Fax: 2763 6648,Housing Department Wo Lok Estate Office G/F  Ping On House  Wo Lok Estate  60 Yuet Wah Street  Kwun Tong  Kowloon Telephone: 2389 0020 Fax: 2763 6648,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/WoLokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Wan (2) Estate,Wong Tai Sin,Kowloon,22.33373,114.21733,Public Rental Housing,1978,Double H  Twin Tower,5,Fung Chak House Kai Fai House King Kung House Ming Lai House Yok Yu House,3 000 As at 30.6.2025,29.0 - 54.9,Formed,Chuk Yuen District Tenancy Management Office Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224,Easy Living Consultant Limited Flat 111-116  G/F  Ming Lai House  Choi Wan (II) Estate  Kowloon  Telephone: 2755 0328  Fax: 2755 0318,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiWan2Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Ha Estate,Kwun Tong,Kowloon,22.32603,114.21825,Tenants Purchase Scheme,1989,Trident 3  Trident 4,3,Choi Sing House Choi Yat House Choi Yuet House,300 * As at 30.6.2025,Gross Floor Areas (sqm):17.9 - 71.8; Saleable Areas (sqm):13.9 - 55.6,Not applicable (Owners' Corporation Formed),Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong  Kowloon Telephone: 2349 1361 Fax: 2389 7462  Choi Ha Estate Tenants Service Management Office Easy Living Consultant Limited G/F  Ying Shun House  Choi Ying Estate   Kowloon Bay  Kowloon. Telephone: 2246 9284 Fax: 2750 1880,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Sau Mau Ping (South) Estate,Kwun Tong,Kowloon,22.32161,114.22982,Public Rental Housing,2009,New Harmony,5,Sau Mei House Sau Tak House Sau Sin House Sau Ho House Sau Wong House,4 000 As at 30.6.2025,17.05 - 39.15,Formed,Housing Department Kowloon East (7) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  Kwun Tong  Kowloon Tel : 2349 1361 Fax : 2389 7462,Kai Fu Property Services Company Limited G/F  Sau Sin House  Sau Mau Ping South Estate  Sau Mau Ping  Kowloon. Tel : 2350 0228 Fax : 2350 0166,-,-,<a href= /en/common/pdf/global-elements/estate-locator/SauMauPingSouthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Ko Yee Estate,Kwun Tong,Kowloon,22.29749,114.24145,Public Rental Housing,1994,Harmony 1  Small Household Block,4,Ko Chi House Ko Shing House Ko Yuet House Ko Yuen House,1 200 As at 30.6.2025,12.5 - 49.3,Formed,Housing Department Ko Yee Estate Office G/F  Ko Yuet House  Ko Yee Estate  Kowloon Telephone: 2772 0462 Fax: 2952 9120,Housing Department Ko Yee Estate Office G/F  Ko Yuet House  Ko Yee Estate  Kowloon Telephone: 2772 0462 Fax: 2952 9120,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KoYeeEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Hing Tin Estate,Kwun Tong,Kowloon,22.31285,114.23877,Tenants Purchase Scheme,1987,Trident 3,3,Choi Tin House Mei Tin House Yan Tin House,200 * As at 30.6.2025,Gross Floor Areas (sqm):45.6 - 64.3; Saleable Areas (sqm):35.2 - 49.3,Not applicable (Owners' Corporation Formed),Housing Department Kowloon East (3) District Tenancy Management Office G/F  Tak King House   Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847  Hing Tin Estate Tenants Service Management Office  Creative Property Services Consultants Ltd.  7/F  Tak Yan House  Tak Tin Estate  Lam Tin Telephone: 2177 6363 Fax: 2177 6603,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
Kai Tin Estate,Kwun Tong,Kowloon,22.30959,114.23492,Public Rental Housing,1997,Harmony 1,3,Kai Shun House Kai Wong House Kai Yan House,2 300 As at 30.6.2025,12.8 - 49.0,Formed,Housing Department Kowloon East (13) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847,Pacific Extend Properties Management Limited G/F.  Wing C  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 2346 1396 Fax: 2349 7022,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Kai Yip Estate,Kwun Tong,Kowloon,22.32958,114.20913,Public Rental Housing,1981,Old Slab  Triple I,6,Kai Cheung House Kai Yin House Kai Lok House Kai Ning House Kai Shing House Kai Yue House,4 300 As at 30.6.2025,18.2 - 39.6,Formed,Housing Department Kai Yip Estate Office G/F  Kai Yin House  Kai Yip Estate  Kwun Tong Road  Kowloon Telephone: 2757 3710 Fax: 2757 2471,Housing Department Kai Yip Estate Office G/F  Kai Yin House  Kai Yip Estate  Kwun Tong Road  Kowloon Telephone: 2757 3710 Fax: 2757 2471,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiYipEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Kwong Tin Estate,Kwun Tong,Kowloon,22.30332,114.23977,Public Rental Housing,1992,Harmony 1  Harmony 3,4,Kwong Ching House Kwong Hin House Kwong Ngar House Kwong Yat House,2 500 As at 30.6.2025,16.9 - 52.3,Formed,Housing Department Kowloon East (13) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847,Easy Living Consultant Limited G/F  Kwong Ching House  Kwong Tin Estate  Lam Tin Telephone: 2349 8000 Fax: 2347 3086,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KwongTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lok Wah South Estate,Kwun Tong,Kowloon,22.32008,114.22222,Public Rental Housing,1982,Old Slab  Trident 1,6,Chin Wah House Fai Wah House Hei Wah House Man Wah House On Wah House Wun Wah House,7 000 As at 30.6.2025,10.2 - 23.5,Formed,Housing Department Lok Wah (South) Estate Office G/F  Wun Wah House  Lok Wah (South) Estate  Ngau Tou Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,Housing Department Lok Wah (South) Estate Office G/F  Wun Wah House  Lok Wah (South) Estate  Ngau Tou Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LokWahSouthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lok Wah North Estate,Kwun Tong,Kowloon,22.32222,114.22021,Public Rental Housing,1985,Double H,8,Kan Wah House Lap Wah House Ning Wah House Po Wah House Ping Wah House Shun Wah House Tat Wah House Yan Wah House,3 000 As at 30.6.2025,29.3 - 57.6,Formed,Housing Department Lok Wah (North) Estate Office G/F  Ping Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Housing Department Lok Wah (North) Estate Office G/F  Ping Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LokWahNorthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
On Tin Estate,Kwun Tong,Kowloon,22.30781,114.23545,Public Rental Housing,2005,NCB,2,On Kin House On Lai House,700 As at 30.6.2025,32.1 - 53.6,Formed,"Housing Department Kowloon East (1) District Tenancy Management Office G/F.  Wing B  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 3749 9440		 Fax: 3749 9439",Pacific Extend Properties Management Limited Podium  On Kin House  On Tin Estate  Lam Tin Telephone: 2772 3201 Fax: 2772 7991,-,-,<a href= /en/common/pdf/global-elements/estate-locator/OnTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Ping Tin Estate,Kwun Tong,Kowloon,22.30603,114.23608,Public Rental Housing,1996 / 1998,Harmony 1   Housing for Senior Citizen,8,Ancillary Facilities Block Ping Chun House Ping Mei House Ping Wong House Ping Yan House Ping Shing House Ping Shun House Ping Sin House,5 700 As at 30.6.2025,9.8 - 49.0,Formed,Housing Department Kowloon East (9) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847,Pacific Extend Properties Management Limited G/F  Ping Wong House  Ping Tin Estate  Lam Tin Telephone: 2348 8681 Fax: 2346 0390,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/PingTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Po Tat Estate,Kwun Tong,Kowloon,22.31712,114.23779,Public Rental Housing,2001  2003,Harmony 1  Small Household Block  New Cruciform,13,Tat Chui House Tat Fu House Tat Hong House Tat Yi House Tat Cheung House Tat Fung House Tat Yan House Tat Hei House Tat Shun House Tat Kai House Tat Hin House Tat Kwai House Tat On House,7 400 As at 30.6.2025,16.3 - 53.7,Formed,"Housing Department Kowloon East (1) District Tenancy Management Office G/F.  Wing B  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 3749 9440		 Fax: 3749 9439",Creative Property Services Consultants Ltd.  G/F  Tat Fu House  Po Tat Estate  Sau Mau Ping Telephone: 2243 7133 Fax: 2775 9112 Web site: www.creativepsc.com.hk,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/PoTatEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Sau Mau Ping Estate,Kwun Tong,Kowloon,22.31621,114.23328,Public Rental Housing,1984  1993  1996  2000  2001  2019,Harmony1 Harmony2 Harmony3 Housing for Senior Citizen Non-standard Single Aspect Building Twin Tower,19,Ancillary Facilities Block Sau Chi House Sau Ching House Sau Fai House Sau Fu House Sau Hong House Sau King House Sau Lok House Sau Ming House Sau Nga House Sau On House Sau Wah House Sau Wai House Sau Wo House Sau Yee House Sau Yin House Sau Yat House Sau Yue House Sau Yun House,12 500 As at 30.6.2025,10.6 - 52.2,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong   Kowloon Telephone: 2349 1361 Fax: 2389 7462,Creative Property Services Consultants Ltd. G/F  Sau King House  Sau Mau Ping Estate  Sau Mau Ping Telephone: 2775 0818 Fax: 2775 6232,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/SauMauPingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Shun On Estate,Kwun Tong,Kowloon,22.32928,114.22636,Public Rental Housing,1978,Cruciform  Old Slab,4,On Chung House On Kwan House On Yat House On Chai House (non-residential block),3 000 As at 30.6.2025,24.4 - 46.8,Formed,Housing Department Kowloon East (3) District Tenancy Management Office G/F  On Chung House  Shun On Estate  Kwun Tong  Kowloon Telephone: 2342 8259 Fax: 2763 6041,Easy Living Consultant Limited  G/F  On Chung House  Shun On Estate  Kwun Tong  Kowloon Telephone: 2342 8259 Fax: 2632 7001,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ShunOnEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Tak Tin Estate,Kwun Tong,Kowloon,22.30976,114.23962,Tenants Purchase Scheme,1991,New Slab  Non-standard  Small Household Block  Trident 3  Trident 4  Tak Yan & Tak Hong House (PRH),9,Tak Shing House Tak King House Tak Lai House Tak Lok House Tak Shui House Tak Lung House Tak Yee House Tak Hong House Tak Yan House,1 500 * As at 30.6.2025,Gross Floor Areas (sqm):15.3 - 73.3 Saleable Areas (sqm):11.8 - 55.6,Not applicable (Owners' Corporation Formed),Housing Department Kowloon East (9) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847  Tak Tin Estate Tenants Service Management Office Creative Property Services Consultants Ltd.  7/F  Tak Yan House  Tak Tin Estate  Lam Tin Telephone: 2177 6363 Fax: 2177 6603,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only  <a href= /en/common/pdf/global-elements/estate-locator/TakTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Tsui Ping (North) Estate,Kwun Tong,Kowloon,22.31555,114.22915,Tenants Purchase Scheme,1982  1986  1990  1994  1998,Double H  Linear 1  Linear 3  New Slab  Old Slab  Small Household Block  Trident 2,12,Tsui Yue House Tsui Yung House Tsui Lau House Tsui Mui House Tsui On House Tsui Pak House Tsui Tsz House Tsui To House Tsui Yeung House Tsui Cheung House Tsui Mei House Tsui Nam House High  Tsui Nam House Low   Remarks: Tsui Nam House High & Low belong to same block; Tsui Mei House not for sale.,2 200 * As at 30.6.2025,Gross Floor Areas (sqm):15.8 - 87.8; Saleable Areas (sqm):11.8 - 65.1,Not applicable (Owners' Corporation Formed),Housing Department Kowloon East (12) District Tenancy Management Office Podium Level 2/F.  Tsui Pak House  Tsui Ping (North) Estate  Kwun Tong  Kowloon Telephone: 2793 2303 Fax: 2763 6540  Tsui Ping (North) Estate Tenants Service Management Office Pacific Extend Properties Management Limited Podium Level  2/F.  Tsui Pak House  Tsui Ping (North) Estate  Kwun Tong  Kowloon Telephone : 3101 8052 Fax : 3101 9827,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only
