Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Wah Sum Estate,North,New Territories,22.48584,114.14325,Public Rental Housing,1995,Harmony 1,2,Wah Koon House Wah Min House,1 500 As at 30.6.2025,16.9 - 49.1,Formed,Tai Po  North & Shatin District Tenancy Management Office (6) No. 8  G/F  Tin Long House  Tin Ping Estate  Sheung Shui  N.T. Telephone : 3698 0061 Fax : 3698 0060,Good Excel Property Consultants Ltd. G/F  Wah Min House  Wah Sum Estate  Fanling Telephone: 2677 1772 Fax: 2676 7622,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/wahsumestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wah Sum,1500,4100,1500
Yung Shing Court,North,New Territories,22.48264,114.13775,Public Rental Housing / Buy or Rent Option,2000,Harmony 1  Non-standard,3,Yung Sui House Yung Wa House Ancillary Facilities Block,1 700 As at 30.6.2025,16.4 - 52.1,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (6) No. 8  G/F  Tin Long House  Tin Ping Estate  Sheung Shui  N.T. Telephone : 3698 0061 Fax : 3698 0060,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only. - Yung Wui House has been sold under Buy or Rent Option Phase 1.,Yung Shing Court,1700,5000,1700
Ma Hang Estate,Southern,Hong Kong Island,22.22169,114.20701,Public Rental Housing,1993,Harmony Rural,5,Chun Ma House Kin Ma House Koon Ma House Leung Ma House Ying Ma House,900 As at 30.6.2025,17.0 - 52.5,Formed,Hong Kong District Tenancy Management office  Wah Fu (II) Sub-office G/F  No. 21-34  Wah Hing House   Wah Fu (II) Estate  Pokfulam   Hong Kong  Tel : 2551 0660 Fax : 2875 5153,Kai Fu Property Services Company Limited G/F  Ying Ma House  Ma Hang Estate  Stanley Telephone: 2813 7963 Fax: 2813 4625,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/MaHangEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Ma Hang,900,2600,900
Shek Pai Wan Estate,Southern,Hong Kong Island,22.24933,114.15726,Public Rental Housing,2006,New Harmony I  Small Household Block  New Flexiblock,8,Pik Long House Pik Yuet House Pik Ngan House Pik Fai House Pik Yuen House Pik Shan House Pik Wai House Pik Luk House,5 300 As at 30.6.2025,17.8 - 53.7,Formed,Shek Pai Wan Estate Office G01  G/F  Pik Long House  Shek Pai Wan Estate  Hong Kong Telephone: 2294 9008  Fax: 2294 9000,Shek Pai Wan Estate Office G01  G/F  Pik Long House  Shek Pai Wan Estate  Hong Kong Telephone: 2294 9008  Fax: 2294 9000,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street   North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,-,<a href= /en/common/pdf/global-elements/estate-locator/ShekPaiWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Pai Wan,5300,13800,5200
Wah Fu (I) Estate,Southern,Hong Kong Island,22.25017,114.13744,Public Rental Housing,1967,Old Slab,12,Wah Ching House Wah Chun House Wah Hong House Wah Kee House Wah Kin House Wah Kwong House Wah Lok House Wah Mei House Wah Ming House Wah On House Wah Shun House Wah Yu House,4 800 As at 30.6.2025,28.3 - 36.5,Formed,Wah Fu (1) Estate Office G/F  Wah Chun House  Wah Fu (1) Estate  Pokfulam  Hong Kong. Telephone: 2551 2011  (24-Hr Telephone: 2875 9286) Fax: 2875 1740,Wah Fu (1) Estate Office G/F  Wah Chun House  Wah Fu (1) Estate  Pokfulam  Hong Kong. Telephone: 2551 2011  (24-Hr Telephone: 2875 9286) Fax: 2875 1740,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street   North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,-,<a href= /en/common/pdf/global-elements/estate-locator/WahFuIEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Wah Fu (I),4800,12000,4700
Wah Fu (II) Estate,Southern,Hong Kong Island,22.25139,114.13718,Public Rental Housing,1970,Twin Tower,6,Wah Cheong House Wah Chui House Wah Hing House Wah King House Wah Sang House Wah Tai House,4 300 As at 30.6.2025,33.1 - 39.9,Formed,Wah Fu (II) Estate Office  G/F  No. 21-34  Wah Hing House   Wah Fu (II) Estate  Pokfulam  Hong Kong  Tel : 2551 0660  (24-Hr Telephone :  2551 7199) Fax : 2875 5153,Wah Fu (II) Estate Office  G/F  No. 21-34  Wah Hing House   Wah Fu (II) Estate  Pokfulam  Hong Kong  Tel : 2551 0660  (24-Hr Telephone :  2551 7199) Fax : 2875 5153,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street   North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Website: http://yuexiuaptparking.com.hk/,-,<a href= /en/common/pdf/global-elements/estate-locator/WahFuIIEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wah Fu (II),4300,12100,4300
Wah Kwai Estate,Southern,Hong Kong Island,22.25011,114.14024,Tenants Purchase Scheme,1990,Small Household Block  Trident 4,6,Wah Hau House Wah Lim House Wah Lai House Wah Oi House Wah Sin House Wah Yin House,800 * As at 30.6.2025,Gross Floor Areas (sqm):24.9 - 71.8; Saleable Areas (sqm):19.3 - 55.6,Not applicable (Owners' Corporation Formed),Hong Kong District Tenancy Management office  Wah Fu (II) Sub-office G/F  No. 21-34  Wah Hing House   Wah Fu (II) Estate  Pokfulam  Hong Kong  Tel : 2551 0660 Fax : 2875 5153   Wah Kwai Estate Tenants Service Management Office Kai Fu Property Services Company Limited Unit G03  G/F.  Wah Lai House  Wah Kwai Estate  Aberdeen  Hong Kong Tel : 2409 7373 Fax : 2551 1311,Appointed by Owners' Corporation (except Wah Oi House)  Kai Fu Property Services Company Limited (for Wah Oi House only) Unit G03  G/F.  Wah Lai House  Wah Kwai Estate  Aberdeen  Hong Kong Tel : 2409 7373 Fax : 2551 1311,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only  <a href= /en/common/pdf/global-elements/estate-locator/Wah Kwai Estate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Wah Kwai,800,1500,700
Oi Man Estate,Kowloon City,Kowloon,22.31313,114.17884,Public Rental Housing,1974,Old Slab  Twin Tower,12,Tak Man House Chiu Man House Shun Man House Kin Man House Kar Man House Lai Man House Hong Man House Po Man House Sun Man House Tun Man House Chung Man House Wai Man House,6 300 As at 30.6.2025,33.2 - 54.9,Formed,Oi Man Estate Office Unit 407-415  4/F  Kar Man House   Oi Man Estate  Ho Man Tin Telephone: 2713 0121  (24-Hr Telephone: 2762 2436) Fax: 2768 7653,Oi Man Estate Office Unit 407-415  4/F  Kar Man House   Oi Man Estate  Ho Man Tin Telephone: 2713 0121  (24-Hr Telephone: 2762 2436) Fax: 2768 7653,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/OiManEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Oi Man,6300,17000,6200
Hoi Fu Court,Yau Tsim Mong,Kowloon,22.31686,114.16454,Public Rental Housing / Buy or Rent Option,1999  2004,Harmony 1  Senior Citizens  Small Household Block  New Harmony,5,Hoi Lam House Hoi Tai House Hoi Yu House Hoi Wen House Hoi Yan House,2 800 As at 30.6.2025,9.7 - 57.5,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(11) G/F  Hoi Tai House  Hoi Fu Court  Mongkok Telephone: 2625 4370 Fax: 2625 5071,(Hoi Lam House  Hoi Yu House  Hoi Wen House) Creative Property Services Consultants Ltd. G/F  Hoi Lam House  Hoi Fu Court  Mong Kok Telephone: 2625 4640 Fax: 2625 4397  (Hoi Tai House  Hoi Yan House) Good Excel Property Consultants Ltd. G/F  Hoi Tai House  Hoi Fu Court  Mong Kok Telephone: 2625 4370 Fax: 3152 2174,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only - Hoi Ning House has been sold under the Buy or Rent Option Phase 1   <a href= /en/common/pdf/global-elements/estate-locator/HoiFuCourt-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Hoi Fu Court,2800,7200,2800
Chai Wan Estate,Eastern,Hong Kong Island,22.26364,114.24197,Public Rental Housing,2010,Non-standard Design,2,Wan Poon House Wan Ying House,1 600 As at 30.6.2025,17.91 - 40.58,Formed,Hong Kong District Tenancy Management Office   Yue Wan Sub Office No. 9-20  G/F.  Yue Tai House  Yue Wan Estate  Hong Kong.  Tel : 2897 7479 Fax : 2515 1985,Modern Living Property Management Ltd. G/F  Wan Poon House  Chai Wan Estate   300 San Ha Street   Chai Wan  Hong Kong Telephone : 2234 7931 Fax : 2673 6353,Modern Living Property Management Ltd. G/F  Wan Poon House  Chai Wan Estate   300 San Ha Street  Chai Wan  Hong Kong Telephone : 2234 7931 Fax : 2673 6353,-,<a href= /en/common/pdf/global-elements/estate-locator/ChaiWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Chai Wan,1600,3500,1600
Fung Wah Estate,Eastern,Hong Kong Island,22.2611,114.23152,Tenants Purchase Scheme,1991,Trident 4,2,Hiu Fung House Sau Fung House,300 * As at 30.6.2025,Gross Floor Areas (sqm):45.8 - 87.9; Saleable Areas (sqm):34.7 - 66.6,Not applicable (Owners' Corporation Formed),Hing Wah (II) Estate Office  Room 701-710   On Hing House  Hing Wah (II) Estate   Chai Wan  Hong Kong.  Tel : 2557 0115  Fax : 2515 1975   Fung Wah Estate Tenants Service Management Office Kai Fu Property Services Company Limited Unit 7  G/F Hing Tsui House  Hing Wah I Estate  Chai Wan  Hong Kong Tel : 2505 7266 Fax : 2505 7311,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only.,Fung Wah,300,500,200
Hing Man Estate,Eastern,Hong Kong Island,22.26646,114.23257,Public Rental Housing,1982,Cruciform,3,Man Chak House Man Fu House Man Yat House,2 000 As at 30.6.2025,24.7 - 51.4,Formed,Hing Man Estate Office Level 2  Community Building  Hing Man Estate  Chai Wan  Hong Kong  Tel : 2558 6311  (24-Hr Telephone : 2904 3802) Fax : 2505 2053,Hing Man Estate Office Level 2  Community Building  Hing Man Estate   Chai Wan  Hong Kong Telephone: 2558 6311   (24-Hr Telephone: 2904 3802) Fax: 2505 2053,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/HingManEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Hing Man,2000,5400,1900
Cheung Wah Estate,North,New Territories,22.49219,114.1419,Tenants Purchase Scheme,1984,Double H  Old Slab  Trident 2,10,Cheung Lai House Cheung Chi House Cheung Fung House Cheung Chung House Cheung King House Cheung Lok House Cheung Shun House Cheung Tak House Cheung Wo House Cheung Yue House,900 * As at 30.6.2025,18.2 - 58.0,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (6) No. 8  G/F  Tin Long House  Tin Ping Estate  Sheung Shui Telephone : 3698 0061 Fax : 3698 0060  Cheung Wah Estate Tenants Service Management Office Good Excel Property Consultants Ltd. Unit 115-116 G/F  Cheung Chung House  Cheung Wah Estate  Fanling Telephone : 2682 1176 Fax : 2682 2012,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Cheung Wah,900,2000,900
Tai Wo Estate,Tai Po,New Territories,22.45201,114.16259,Tenants Purchase Scheme,1989,New Slab  Trident 3,9,Fook Wo House Hang Wo House Hei Wo House Kui Wo House Lai Wo House Oi Wo House On Wo House Sun Wo House Tsui Wo House,1 000 * As at 30.6.2025,Gross Floor Areas (sqm):14.6 - 63.7; Saleable Areas (sqm):11.2 - 49.3,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (7) 2/F  On Wo House  Tai Wo Estate  Tai Po Telephone: 2657 2808 Fax: 2657 8660   Tai Wo Estate Tenants Service Management Office Good Excel Property Consultants Ltd. Unit 108  G/F  Kui Wo House  Tai Wo Estate Telephone: 2656 2211 Fax:  2656 1321,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Tai Wo,1000,2000,900
Choi Ming Court,Sai Kung,New Territories,22.30682,114.25311,Public Rental Housing / Buy or Rent Option,2001,Harmony 1  Small Household Block,4,Choi Fu House Choi Kwai House Choi Wing House Choi Yiu House,2 800 As at 30.6.2025,16.3 - 49.0,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(10) G/F.  Kin Hei House  Kin Ming Estate  Tseung Kwan O Telephone :  2706 8201 Fax  :  2701 0570,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Choi Ming Court,2800,7500,2800
Wan Tau Tong Estate,Tai Po,New Territories,22.44275,114.16876,Tenants Purchase Scheme,1991,Trident 3,3,Wan Hang House Wan Lam House Wan Loi House,400 * As at 30.6.2025,Gross Floor Areas (sqm):18.0 - 64.5; Saleable Areas (sqm):13.9 - 49.7,Not applicable (Owners' Corporation Formed),"Tai Po  North & Shatin District Tenancy Management Office (7) 2/F  On Wo House  Tai Wo Estate  Tai Po Telephone: 2657 2808 Fax: 2657 8660   Wan Tau Tong Estate Tenants Service Management Office Funing Property Mgt Ltd. Unit 5A  G.F.  Wan Lam House  Wan Tau Tong Estate  Tai Po  N.T. Telephone: 2638 2449	 Fax: 3167 7687",Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Wan Tau Tong,400,600,300
Choi Wan (I) Estate,Wong Tai Sin,Kowloon,22.33301,114.21512,Public Rental Housing,1979,Double H  Old Slab  Single H,16,Boon Yuet House Cheung Bor House Chi Siu House Fei Fung House Kam Lam House King San House Koon Yat House Ngan Ho House Pak Fung House Pak Hung House Sau Man House Sing San House Sze Yu House Yau Lung House Yuk Lun House Yat Yuet House,5 900 As at 30.6.2025,28.6 - 67.9,Formed,Choi Wan (I) Estate Office Unit 108-115  G/F  Boon Yuet House  Choi Wan Estate  Kowloon. Telephone: 2750 7211 Fax: 2750 8477,Choi Wan (I) Estate Office Unit 108-115  G/F  Boon Yuet House  Choi Wan Estate  Kowloon. Telephone: 2750 7211 Fax: 2750 8477,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiWanIEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Wan (I),5900,16100,5800
Chuk Yuen (North) Estate,Wong Tai Sin,Kowloon,22.34581,114.19293,Tenants Purchase Scheme,1987,Trident 3,8,Chung Yuen House Cheung Yuen House Mui Yuen House Pak Yuen House Toa Yuen House Tung Yuen House Wai Yuen House Yung Yuen House,700 * As at 30.6.2025,Gross Floor Areas (sqm):17.7 - 63.6; Saleable Areas (sqm):13.7 - 49.3,Not applicable (Owners' Corporation Formed),Chuk Yuen District Tenancy Management Office Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224  Chuk Yuen (North) Estate Tenants Service Management Office Funing Property Management Ltd. G/F.  115A  Tung Yuen House  Chuk Yuen (North) Estate  Wong Tai Sin Telephone: 2726 3111 Fax: 2726 5077,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Chuk Yuen (North),700,1600,700
Chuk Yuen South Estate,Wong Tai Sin,Kowloon,22.34463,114.19064,Public Rental Housing,1984,Double H  Old Slab  Twin Tower,8,Chui Yuen House Fu Yuen House Kwai Yuen House Lai Yuen House Nga Yuen House Sau Yuen House Wah Yuen House Wing Yuen House,6 200 As at 30.6.2025,11.5 - 64.0,Formed,Chuk Yuen District Tenancy Management Office Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin Telephone: 2351 1818 Fax: 2351 9224,Easy Living Consultant Limited G/F  Wah Yuen House  Chuk Yuen (South) Estate  Wong Tai Sin Telephone: 2327 8818 Fax: 2327 8808,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ChukYuenSouthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Chuk Yuen (South),6200,13900,6000
Lower Wong Tai Sin (2) Estate,Wong Tai Sin,Kowloon,22.33989,114.19119,Public Rental Housing,1982,Double H  Harmony 3  Old Slab  Single H,15,Lung Fook House Lung Gut House Lung Hing House Lung Kwong House Lung Lok House Lung On House Lung Shing House Lung Cheong House Lung Chi House Lung Fai House Lung Hei House Lung Moon House Lung Tai House Lung Wai House Lung Wo House,6 700 As at 30.6.2025,13.5 - 59.4,Formed,Wong Tai Sin District Tenancy Management Office  G/F  Lung Chi House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin Telephone: 2326 8962 Fax: 2326 6143,Pioneer Management Ltd. G/F  Lung Wai House  Lower Wong Tai Sin (II) Estate  Wong Tai Sin Telephone: 2726 5675 Fax: 2351 9194,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LowerWongTaiSin2Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lower Wong Tai Sin (II),6700,17500,6500
Kin Ming Estate,Sai Kung,New Territories,22.30644,114.25094,Public Rental Housing,2003,New Harmony I,10,Kin Ching House Kin Fai House Kin Hei House Kin Wa House Ming Chau House Ming Sing House Ming Wik House Ming Yat House Ming Yu House Ming Yuet House,7 000 As at 30.6.2025,17.4 - 49.1,Formed,Kowloon West & Sai Kung District Tenancy Management Office(10) G/F.  Kin Hei House  Kin Ming Estate  Tseung Kwan O Telephone :  2706 8201 Fax  :  2701 0570,Pioneer Management Ltd. G/F  Kin Ching House  Kin Ming Estate Telephone: 3427 3000 Fax: 3427 3001,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KinMingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kin Ming,7000,18500,7000
Fung Tak Estate,Wong Tai Sin,Kowloon,22.34489,114.20121,Tenants Purchase Scheme,1991,New Slab  Trident 3  Trident 4,7,Ban Fung House Chu Fung House Ngan Fung House Pik Fung House Suet Fung House Toi Fung House Tsz Fung House,800 * As at 30.6.2025,Gross Floor Areas (sqm):15.3 - 71.8;Saleable Areas (sqm):11.7 - 55.6,Not applicable (Owners' Corporation Formed),Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 2324 0096 Fax: 2752 8665  Fung Tak Estate Tenants Service Management Office Funing Property Management Ltd. Room 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 3568 0086 Fax: 2321 0733,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Fung Tak,800,1300,700
King Lam Estate,Sai Kung,New Territories,22.31986,114.26158,Tenants Purchase Scheme,1990,New Slab  Trident 3  Trident 4,7,King Nam House King Chung House King Yung House King Min House King Tao House King Lui House King Yu House,1 000 * As at 30.6.2025,Gross Floor Areas (sqm):18.3 - 65.2;Saleable Areas (sqm):13.9 - 50.5,Not applicable (Owners' Corporation Formed),Kowloon West & Sai Kung District Tenancy Management Office(9) G/F  Po Chi House  Po Lam Estate  Tseung Kwan O Telephone : 2701 3320 Fax : 2703 6344   King Lam Estate Tenants Service Management Office Good Yield Property Management Ltd.  G/F.  King Yung House  King Lam Estate  Tseung Kwan O  N.T.  Telephone : 2704 9356  Fax : 2274 4700,Appointed by Owners' Corporation,Owned and operated by private corporation,,* Includes flats  households and authorized population under Public Rental Housing only,King Lam,1000,1600,1000
Lok Fu Estate,Wong Tai Sin,Kowloon,22.33818,114.18666,Public Rental Housing,1984,Harmony 1  Linear 3  New Slab,11,Lok Tai House Lok Him House Lok Man House Lok Tsui House Lok Tung House Wang Hong House Wang Lok House Wang Shun House Wang Tat House Wang Yuk House Wang Yat House,3 700 As at 30.6.2025,12.2 - 57.7,Formed,Lok Fu Estate Office Podium Level 1  Hong Kong Housing Authority Customer Service Centre  3 Wang Tau Hom South Road  Kowloon. Telephone: 2336 5144 Fax: 2337 6523,Lok Fu Estate Office Podium Level 1  Hong Kong Housing Authority Customer Service Centre  3 Wang Tau Hom South Road  Kowloon. Telephone: 2336 5144 Fax: 2337 6523,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LokFuEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lok Fu,3700,9400,3600
Yau Oi Estate,Tuen Mun,New Territories,22.38828,113.97354,Public Rental Housing,1980,Double H  Old Slab  Triple H  Twin Tower,11,Oi Chi House Oi Lai House Oi Lim House Oi Lok House Oi Fai House Oi Hei House Oi Ming House Oi Shun House Oi Tak House Oi Yung House Oi Yee House,9 200 As at 30.6.2025,23.2 - 67.9,Formed,Yau Oi Estate Office Unit 101-103 & 105-108  G/F  Oi Hei House Yau Oi Estate  Tuen Mun Telephone: 2458 7710 Fax: 2458 6636,Yau Oi Estate Office Unit 101-103 & 105-108  G/F  Oi Hei House Yau Oi Estate  Tuen Mun Telephone: 2458 7710 Fax: 2458 6636,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/YauOiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Yau Oi,9200,23300,9000
Shin Ming Estate,Sai Kung,New Territories,22.30371,114.24983,Public Rental Housing,2011,Non-standard Block,2,Shin Chi House Shin Lai House,2 000 As at 30.6.2025,14.05 - 39.10,Formed,Kowloon West & Sai Kung District Tenancy Management Office(10) G/F.  Kin Hei House  Kin Ming Estate  Tseung Kwan O Telephone : 2706 8201 Fax : 2701 0570,Good Yield Property Management Limited G/F  Shin Lai House  Shin Ming Estate  Tseung Kwan O  N.T Telephone : 2331 3102 Fax : 2331 3733,Good Yield Property Management Limited G/F  Shin Lai House  Shin Ming Estate  Tseung Kwan O  N.T Telephone : 2331 3102 Fax : 2331 3733,,<a href= /en/common/pdf/global-elements/estate-locator/ShinMingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shin Ming,2000,3900,2000
Tin King Estate,Tuen Mun,New Territories,22.40587,113.96399,Tenants Purchase Scheme,1989,New Slab  Trident 3  Trident 4,4,Tin Lok House Tin Tsui House Tin Tun House Tin Yue House,400 * As at 30.6.2025,Gross Floor Areas (sqm):40.8 - 68.2; Saleable Areas (sqm):32.4 - 52.6,Not applicable (Owners' Corporation Formed),Tuen Mun District Tenancy Management Office (6) Unit 403-412 4/F.  Ting Cheung House  On Ting Estate  Tuen Mun  N.T.  Telephone: 2451 0321 Fax: 2450 9740  Tin King Estate Tenants Service Management Office Nice Property Management Limited G/F  Leung Chun House  Leung King Estate  Tuen Mun Tel: 2465 1239 Fax: 3525 0436,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats/households/authorized population under Public Rental Housing only,Tin King,400,1000,400
Tai Wo Hau Estate,Kwai Tsing,New Territories,22.36743,114.12551,Public Rental Housing,1979,Double H  Harmony 1  Linear L  Linear 1  Old Slab,17,Fu Nga House Fu Ping House Fu Ching House Fu Keung House Fu Wah House Fu Pik House Fu Kwai House Fu Man House Fu Kwok House Fu On House Fu Pong House Fu Sau House Fu Tai House Fu Wing House Fu Yat House Fu Tak House Fu Yin House,7 900 As at 30.6.2025,16.4 - 68.4,Formed,Tai Wo Hau Estate Office G/F  Fu Kwai House  Tai Wo Hau Estate  Kwai Chung T : 2429 9446 F : 2423 6835,Tai Wo Hau Estate Office G/F  Fu Kwai House  Tai Wo Hau Estate  Kwai Chung T : 2429 9446 F : 2423 6835,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TaiWoHauEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tai Wo Hau,7900,19500,7500
Lung Hang Estate,Sha Tin,New Territories,22.36524,114.17843,Public Rental Housing,1983,Double H  Old Slab  Twin Tower,6,Wai Sam House Hok Sam House Lok Sam House Sin Sam House Sheung Sam House Wing Sam House,4 400 As at 30.6.2025,11.0 - 60.8,Formed,Tai Po  North & Shatin District Tenancy Management Office (3) Flat 1-17  G/F  Sun Hok House  Sun Chui Estate  Shatin  NT Telephone : 2529 5178 Fax : 2466 7897,Creative Property Services Consultants Ltd. Lung Hang Property Service Management Office Near Wing Sam House  Lung Hang Estate  Shatin Telephone : 2606 1073 Fax : 2604 6447,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/lunghangestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lung Hang,4400,12100,4300
Wah Lai Estate,Kwai Tsing,New Territories,22.34257,114.13754,Public Rental Housing,2001,Harmony 1,2,Hei Lai House  Seung Lai House,1 400 As at 30.6.2025,13.5 - 43.3,Formed,Wah Lai Estate Office Unit 703  7/F  Podium  Hei Lai House  Wah Lai Estate  Lai Chi Kok  Kowloon Telephone: 2242 6442 Fax: 2242 6449,Wah Lai Estate Office Unit 703  7/F  Podium  Hei Lai House  Wah Lai Estate  Lai Chi Kok  Kowloon Telephone: 2242 6442 Fax: 2242 6449,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/WahLaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Wah Lai,1400,4000,1400
Tsing Yi Estate,Kwai Tsing,New Territories,22.35465,114.1028,Tenants Purchase Scheme,1986,Trident 2  Trident 3  Trident 4,4,Yee Yat House Yee Kui House Yee Wai House Yee Yip House,400 * As at 30.6.2025,Gross Floor Areas (sqm):18.3 - 68.2; Saleable Areas (sqm):13.9 - 52.6,Not applicable (Owners' Corporation Formed),Tsing Yi District Tenancy Management Office Wings A & B  G/F  Yee Yip House  Tsing Yi Estate  Tsing Yi Telephone: 2431 0305 Fax: 2435 5137  Tsing Yi Estate Tenants Services Management Offfice Pioneer Management Ltd Wing A & B  G/F.  Yee Yip House  Tsing Yi Estate  Tsing Yi Telephone: 3105 2313 Fax: 3105 1054,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Tsing Yi,400,600,400
Kwai Hing Estate,Kwai Tsing,New Territories,22.36625,114.13261,Tenants Purchase Scheme,1991-1992,Linear 1,4,Hing Fuk House Hing Kok House Hing Lok House Hing Yat House,200 * As at 30.6.2025,Gross Floor Areas (sqm):18.9 - 74.3; Saleable Areas (sqm):13.5 - 53.1,Not applicable (Owners' Corporation Formed),Kwai Chung Estate Office (1) G/F  Ha Kwai House  Kwai Chung Estate Telephone: 3617 9201 Fax: 3617 9200  Kwai Hing Estate Tenants Service Management Office  Pioneer Management Limited 5B  G/F  Hing Yat House  Kwai Hing Estate  Kwai Chung  Telephone: 2427 7666 Fax: 2427 7780,Appointed by Owners¡¦Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Kwai Hing,200,300,200
